Frequency,Harmonic,Average_SNR,Average_BASE,Average_PWR,Fp1_SNR,Fpz_SNR,Fp2_SNR,F7_SNR,F3_SNR,Fz_SNR,F4_SNR,F8_SNR,FC5_SNR,FC1_SNR,FC2_SNR,FC6_SNR,M1_SNR,T7_SNR,C3_SNR,Cz_SNR,C4_SNR,T8_SNR,M2_SNR,CP5_SNR,CP1_SNR,CP2_SNR,CP6_SNR,P7_SNR,P3_SNR,Pz_SNR,P4_SNR,P8_SNR,POz_SNR,O1_SNR,O2_SNR,AF7_SNR,AF3_SNR,AF4_SNR,AF8_SNR,F5_SNR,F1_SNR,F6_SNR,FC3_SNR,FCz_SNR,FC4_SNR,C5_SNR,C1_SNR,C2_SNR,C6_SNR,CP3_SNR,CP4_SNR,P5_SNR,P1_SNR,P2_SNR,P6_SNR,PO5_SNR,PO3_SNR,PO4_SNR,PO6_SNR,FT7_SNR,FT8_SNR,TP7_SNR,TP8_SNR,Oz_SNR,Fp1_BASE,Fpz_BASE,Fp2_BASE,F7_BASE,F3_BASE,Fz_BASE,F4_BASE,F8_BASE,FC5_BASE,FC1_BASE,FC2_BASE,FC6_BASE,M1_BASE,T7_BASE,C3_BASE,Cz_BASE,C4_BASE,T8_BASE,M2_BASE,CP5_BASE,CP1_BASE,CP2_BASE,CP6_BASE,P7_BASE,P3_BASE,Pz_BASE,P4_BASE,P8_BASE,POz_BASE,O1_BASE,O2_BASE,AF7_BASE,AF3_BASE,AF4_BASE,AF8_BASE,F5_BASE,F1_BASE,F6_BASE,FC3_BASE,FCz_BASE,FC4_BASE,C5_BASE,C1_BASE,C2_BASE,C6_BASE,CP3_BASE,CP4_BASE,P5_BASE,P1_BASE,P2_BASE,P6_BASE,PO5_BASE,PO3_BASE,PO4_BASE,PO6_BASE,FT7_BASE,FT8_BASE,TP7_BASE,TP8_BASE,Oz_BASE,Fp1_PWR,Fpz_PWR,Fp2_PWR,F7_PWR,F3_PWR,Fz_PWR,F4_PWR,F8_PWR,FC5_PWR,FC1_PWR,FC2_PWR,FC6_PWR,M1_PWR,T7_PWR,C3_PWR,Cz_PWR,C4_PWR,T8_PWR,M2_PWR,CP5_PWR,CP1_PWR,CP2_PWR,CP6_PWR,P7_PWR,P3_PWR,Pz_PWR,P4_PWR,P8_PWR,POz_PWR,O1_PWR,O2_PWR,AF7_PWR,AF3_PWR,AF4_PWR,AF8_PWR,F5_PWR,F1_PWR,F6_PWR,FC3_PWR,FCz_PWR,FC4_PWR,C5_PWR,C1_PWR,C2_PWR,C6_PWR,CP3_PWR,CP4_PWR,P5_PWR,P1_PWR,P2_PWR,P6_PWR,PO5_PWR,PO3_PWR,PO4_PWR,PO6_PWR,FT7_PWR,FT8_PWR,TP7_PWR,TP8_PWR,Oz_PWR
6,6,-0.126,43.311,43.185,-1.904,0.262,0.207,-0.395,-0.613,0.719,-0.235,0.049,-0.942,0.619,0.851,-0.611,-0.719,-0.710,-0.285,1.634,0.188,-0.595,-0.793,-0.933,0.654,0.879,-0.620,-0.617,-0.489,1.078,0.113,-0.843,0.965,-0.424,-0.253,-2.153,-0.375,0.496,-0.136,-1.232,0.173,-0.031,-0.814,1.288,-0.196,-0.849,0.907,1.162,-0.240,-0.466,0.280,-0.925,0.273,0.865,-0.548,-0.880,-0.507,0.096,-0.786,0.458,0.164,-0.919,-0.885,1.976,33.576,30.011,31.308,36.762,40.448,41.615,41.915,37.380,40.616,43.356,43.618,41.393,45.732,42.677,44.777,44.378,44.682,42.539,46.617,46.222,45.984,45.508,45.443,48.311,47.657,46.737,46.786,47.300,47.427,48.489,47.571,35.601,36.949,38.035,34.853,38.078,41.463,39.190,43.073,43.507,43.800,43.812,44.611,44.543,43.714,46.584,45.756,47.913,47.210,46.585,46.760,49.215,48.201,47.295,47.937,38.946,39.568,45.872,45.499,47.280,31.672,30.274,31.515,36.367,39.836,42.334,41.680,37.429,39.674,43.975,44.468,40.782,45.014,41.966,44.492,46.013,44.870,41.945,45.824,45.289,46.639,46.387,44.823,47.694,47.168,47.815,46.899,46.457,48.392,48.065,47.319,33.448,36.574,38.530,34.716,36.846,41.636,39.158,42.259,44.795,43.604,42.962,45.519,45.705,43.473,46.118,46.037,46.988,47.483,47.450,46.212,48.335,47.694,47.391,47.150,39.403,39.732,44.953,44.614,49.255
6,12,-0.548,36.946,36.398,-1.346,1.942,-2.325,2.098,0.034,-0.635,-2.331,0.004,1.088,-0.404,-1.150,-2.059,0.204,1.173,-0.724,-1.142,-2.669,-0.795,-1.248,-0.693,-2.225,-2.687,-1.719,-1.020,-1.437,-2.076,-1.550,-0.636,0.527,2.184,2.178,-0.062,0.847,-0.674,-1.775,2.134,-0.422,0.160,-0.703,-0.480,-2.653,0.345,-1.404,-1.757,-2.058,-1.329,-2.421,-1.056,-1.755,-2.125,-0.749,-0.264,-0.070,0.242,0.644,0.768,0.823,-0.500,-1.457,4.307,31.687,25.477,27.591,32.389,36.344,36.807,36.578,32.075,34.420,37.578,37.161,34.566,38.074,34.911,37.073,37.726,36.704,36.248,39.324,37.654,38.148,37.368,36.864,41.441,39.905,39.539,38.805,40.033,41.708,43.846,42.396,31.907,33.159,33.307,30.464,32.907,36.863,32.177,37.488,37.520,37.076,35.760,37.608,37.089,35.834,38.103,37.097,40.365,39.602,38.781,38.584,43.698,41.984,40.721,41.396,35.129,33.503,37.681,37.914,42.582,30.341,27.420,25.266,34.487,36.378,36.172,34.247,32.079,35.508,37.174,36.011,32.507,38.278,36.084,36.349,36.584,34.035,35.454,38.076,36.960,35.923,34.681,35.145,40.421,38.467,37.462,37.256,39.398,42.235,46.029,44.574,31.844,34.006,32.633,28.689,35.042,36.441,32.337,36.785,37.040,34.423,36.105,36.204,35.331,33.776,36.774,34.676,39.309,37.847,36.656,37.835,43.434,41.914,40.963,42.041,35.897,34.326,37.180,36.458,46.889
6,18,2.703,31.838,34.541,-3.229,0.435,0.705,0.193,0.126,2.046,2.583,3.873,0.929,1.631,3.185,5.348,3.891,2.089,2.366,3.220,4.146,1.069,1.956,2.877,3.865,4.504,3.363,3.884,4.419,4.524,4.134,2.364,5.415,5.469,4.005,-3.036,-0.947,2.586,3.932,-1.138,1.078,3.571,-0.457,2.261,2.943,2.207,2.614,3.969,3.368,3.640,4.192,4.030,4.518,4.566,3.247,4.606,4.999,4.424,2.770,0.394,1.980,2.991,1.735,5.742,28.907,22.637,23.733,31.354,31.631,31.055,30.978,28.599,31.751,32.427,31.719,28.558,33.275,32.073,32.376,32.778,31.248,33.272,33.786,32.789,32.507,31.716,31.926,34.077,32.859,33.015,32.770,33.463,33.598,34.524,34.591,31.215,30.186,28.431,25.062,32.126,31.353,29.185,33.629,32.581,31.732,32.021,32.568,31.559,32.495,32.445,31.672,33.281,32.840,32.581,33.075,34.728,33.514,33.577,34.483,32.595,31.479,32.772,32.820,34.304,25.677,23.072,24.438,31.547,31.757,33.101,33.561,32.472,32.680,34.058,34.905,33.906,37.166,34.162,34.743,35.997,35.394,34.341,35.742,35.666,36.372,36.220,35.290,37.960,37.278,37.539,36.903,35.828,39.013,39.993,38.596,28.179,29.239,31.017,28.994,30.988,32.431,32.756,33.172,34.841,34.675,34.229,35.182,35.528,35.863,36.086,35.864,37.311,37.358,37.148,36.322,39.334,38.513,38.002,37.254,32.988,33.459,35.763,34.556,40.046
6,24,0.443,30.135,30.578,-4.295,-0.558,-1.022,-0.825,-3.624,-2.420,-2.850,1.384,-1.159,-1.879,-1.424,-1.103,-0.499,-0.160,-0.115,-0.301,-0.320,-0.883,-1.593,0.407,1.092,1.390,1.889,-0.229,2.348,3.111,3.251,2.248,5.657,5.917,5.664,-3.494,-3.434,-1.956,0.551,-3.223,-2.843,0.755,-3.018,-1.316,-2.148,-0.167,-0.250,-0.024,0.599,0.906,1.730,1.769,3.101,3.196,3.209,3.051,4.728,5.037,3.909,-2.884,-0.035,-0.069,1.947,7.860,28.037,19.818,22.574,28.700,30.744,29.624,30.003,26.717,30.130,30.725,29.945,29.649,31.453,30.360,29.931,31.079,30.324,33.572,33.658,30.572,30.319,30.285,29.779,32.281,30.976,30.815,30.915,31.692,31.319,32.584,32.346,28.957,28.269,27.010,24.387,30.368,30.191,26.326,31.793,30.820,30.555,29.942,30.809,30.594,30.471,30.438,30.310,31.327,30.535,30.649,30.844,32.669,31.360,31.287,32.082,32.098,30.230,30.858,30.220,31.783,23.741,19.260,21.551,27.874,27.120,27.204,27.153,28.101,28.971,28.846,28.521,28.546,30.953,30.200,29.815,30.778,30.004,32.689,32.065,30.978,31.412,31.675,31.668,32.053,33.324,33.926,34.166,33.941,36.975,38.501,38.010,25.464,24.835,25.054,24.938,27.145,27.348,27.081,28.776,29.504,28.407,29.775,30.559,30.570,31.069,31.344,32.040,33.096,33.636,33.844,34.053,35.720,36.087,36.324,35.990,29.214,30.195,30.789,32.167,39.643
6,30,2.945,29.705,32.650,-0.867,2.594,0.766,4.115,3.327,3.725,3.502,6.022,2.776,3.006,3.414,3.991,5.925,2.712,2.639,2.796,3.711,1.386,1.674,3.238,2.497,3.098,3.540,4.599,2.810,2.384,2.605,3.162,1.928,1.990,1.655,-0.414,2.728,3.938,4.860,2.564,3.129,2.656,1.748,3.005,3.458,3.213,2.367,2.977,3.328,2.900,3.360,3.813,2.716,2.820,3.138,4.315,2.526,2.327,3.327,2.603,2.618,5.262,3.433,1.241,27.218,20.573,23.664,27.722,27.994,27.753,28.026,25.462,30.149,29.486,29.081,28.734,29.536,32.585,30.511,30.349,30.068,33.072,32.893,30.982,30.718,30.600,30.897,31.137,30.714,30.808,31.071,31.724,30.709,31.231,31.542,28.720,26.183,25.533,23.754,28.500,28.118,28.484,30.500,29.289,29.222,30.440,30.393,30.232,31.387,30.673,30.781,30.735,30.686,30.747,31.284,31.070,30.841,31.096,31.440,31.400,31.380,29.927,31.158,31.344,26.351,23.167,24.430,31.837,31.321,31.478,31.528,31.485,32.925,32.492,32.495,32.725,35.461,35.298,33.151,33.145,33.779,34.458,34.567,34.220,33.215,33.698,34.437,35.736,33.523,33.191,33.677,34.887,32.637,33.221,33.197,28.306,28.911,29.471,28.615,31.064,31.247,31.140,32.248,32.295,32.680,33.653,32.759,33.209,34.714,33.573,34.141,34.548,33.402,33.567,34.422,35.385,33.367,33.423,34.766,34.003,33.998,35.189,34.591,32.585
6,36,-0.111,28.778,28.667,-3.042,-0.178,-4.065,1.617,-1.091,-0.968,-2.254,0.245,-0.048,-0.884,-1.363,-1.272,1.272,0.870,0.482,0.002,-1.237,1.237,-0.698,1.154,0.548,-0.436,-0.098,0.972,1.136,0.852,-0.042,0.835,1.231,0.204,-0.420,-2.738,0.747,-1.170,-1.739,-2.460,-0.977,-1.892,-1.960,-0.316,-2.544,1.411,0.147,-0.288,-1.044,1.323,0.057,1.239,1.273,0.832,0.991,0.807,1.446,0.762,0.699,0.065,-0.307,0.649,2.385,1.401,27.838,20.880,25.212,27.285,28.909,28.290,29.439,27.584,29.315,29.184,29.384,29.683,29.179,28.433,28.832,29.098,29.573,32.635,31.723,28.546,28.753,29.229,29.176,28.976,28.379,28.511,28.911,29.319,28.794,29.547,29.969,29.851,25.031,26.099,26.609,30.394,28.180,28.665,30.378,28.629,30.079,28.422,28.686,28.865,30.854,28.053,28.846,28.422,28.447,28.630,28.700,29.243,28.607,28.897,29.311,30.245,31.120,28.713,28.630,29.492,24.796,20.702,21.147,28.902,27.818,27.321,27.185,27.828,29.267,28.300,28.021,28.411,30.451,29.303,29.314,29.100,28.336,33.873,31.024,29.700,29.300,28.793,29.077,29.948,29.515,29.364,28.869,30.154,30.025,29.752,29.549,27.113,25.778,24.929,24.870,27.933,27.203,26.773,28.418,28.313,27.534,29.834,28.832,28.577,29.810,29.377,28.903,29.661,29.720,29.462,29.691,30.051,30.054,29.659,30.010,30.310,30.813,29.362,31.015,30.892
10,10,2.058,35.732,37.790,-0.192,-0.947,0.970,-0.007,0.773,0.662,-1.923,-0.698,0.633,1.453,-0.200,-1.227,1.633,1.752,1.944,1.099,0.178,1.450,2.792,3.204,3.089,2.124,1.637,3.556,4.734,4.780,4.133,2.981,7.012,6.383,6.078,-0.400,-0.007,-0.397,0.105,1.753,1.046,0.375,0.516,0.657,-1.710,1.744,1.770,0.704,0.121,3.137,1.999,4.467,4.923,4.368,3.565,4.260,6.261,5.879,4.103,0.654,0.304,2.913,2.146,8.375,29.303,24.160,24.148,32.406,33.580,34.018,34.802,32.211,33.713,35.227,35.785,34.122,37.218,34.861,36.107,37.171,36.799,34.995,37.403,36.621,37.477,37.611,37.304,38.755,38.470,38.714,38.565,39.186,39.913,41.124,40.776,31.542,31.578,31.063,28.334,31.492,33.758,30.937,35.358,35.960,36.163,35.564,36.627,37.004,36.150,37.329,37.618,38.198,38.453,38.353,38.572,40.654,39.655,39.462,40.679,33.860,33.927,36.235,36.703,40.131,29.111,23.213,25.118,32.400,34.353,34.680,32.879,31.513,34.346,36.679,35.585,32.895,38.851,36.612,38.051,38.271,36.977,36.445,40.195,39.825,40.566,39.735,38.941,42.310,43.204,43.493,42.698,42.167,46.926,47.507,46.854,31.142,31.571,30.666,28.440,33.245,34.804,31.312,35.875,36.617,34.453,37.307,38.397,37.708,36.272,40.466,39.617,42.665,43.376,42.721,42.136,44.913,45.916,45.341,44.781,34.514,34.231,39.148,38.849,48.506
10,20,3.727,30.375,34.102,-3.221,0.575,-0.530,2.248,1.313,2.965,2.916,2.859,2.520,2.655,3.216,3.637,1.540,1.381,3.282,4.002,4.329,-0.243,2.051,2.901,5.422,5.772,2.993,3.882,7.018,8.223,7.410,2.456,11.008,9.619,8.311,-1.888,-0.198,2.206,1.412,2.336,2.338,2.493,1.013,3.191,3.002,2.602,3.810,4.486,2.649,4.471,5.481,5.118,7.662,7.886,5.440,6.927,9.407,9.291,5.095,1.606,-0.207,1.710,1.350,10.422,27.959,21.200,23.312,28.544,30.243,29.947,29.630,26.291,29.301,31.769,32.026,29.440,31.788,29.647,30.754,32.899,31.500,34.124,32.091,30.379,31.425,31.379,31.360,31.283,30.574,31.110,30.627,31.886,31.015,31.382,32.008,29.735,29.181,27.276,25.248,28.957,30.135,28.393,31.969,32.193,31.821,30.015,31.921,31.999,32.018,30.733,31.003,31.023,30.818,30.889,30.739,31.750,30.767,30.912,31.987,29.854,31.133,30.585,31.215,31.328,24.738,21.776,22.781,30.791,31.556,32.912,32.546,29.150,31.821,34.424,35.242,33.077,33.328,31.028,34.036,36.901,35.828,33.882,34.142,33.280,36.847,37.151,34.353,35.165,37.593,39.333,38.037,34.343,42.023,41.001,40.319,27.847,28.983,29.482,26.661,31.293,32.473,30.886,32.981,35.385,34.823,32.618,35.731,36.484,34.667,35.204,36.484,36.140,38.480,38.775,36.180,38.678,40.174,40.204,37.082,31.460,30.927,32.295,32.565,41.750
10,30,0.940,29.705,30.646,-4.454,-1.126,-1.606,2.854,1.399,1.177,1.471,4.564,3.122,0.464,0.958,1.968,2.722,0.656,0.902,0.346,1.132,0.194,0.382,1.497,-0.128,0.285,0.976,2.360,0.724,-0.126,-0.021,1.398,0.365,1.146,0.042,-0.809,-0.491,0.946,2.084,1.810,0.238,0.179,0.590,0.478,0.993,2.375,0.011,0.393,1.124,0.780,1.049,2.032,0.724,0.569,1.154,3.153,1.009,0.228,1.683,1.304,2.832,3.081,1.005,0.253,27.218,20.573,23.664,27.722,27.994,27.753,28.026,25.462,30.149,29.486,29.081,28.734,29.536,32.585,30.511,30.349,30.068,33.072,32.893,30.982,30.718,30.600,30.897,31.137,30.714,30.808,31.071,31.724,30.709,31.231,31.542,28.720,26.183,25.533,23.754,28.500,28.118,28.484,30.500,29.289,29.222,30.440,30.393,30.232,31.387,30.673,30.781,30.735,30.686,30.747,31.284,31.070,30.841,31.096,31.440,31.400,31.380,29.927,31.158,31.344,22.764,19.447,22.058,30.575,29.393,28.930,29.497,30.026,33.271,29.949,30.040,30.702,32.258,33.241,31.413,30.695,31.200,33.266,33.275,32.480,30.590,30.885,31.873,33.498,31.437,30.682,31.051,33.122,31.074,32.377,31.584,27.912,25.692,26.479,25.838,30.310,28.356,28.663,31.090,29.768,30.215,32.815,30.404,30.625,32.511,31.453,31.830,32.767,31.410,31.316,32.437,34.223,31.850,31.324,33.123,32.704,34.212,33.007,32.162,31.597
10,40,-0.592,28.393,27.801,-3.871,-0.580,-2.173,1.228,-2.384,-1.003,-0.618,0.324,1.363,-1.219,-0.803,1.289,-0.728,2.875,0.158,-0.686,-0.290,-0.362,-1.838,1.363,-0.312,-0.552,-0.120,-0.254,-0.486,-0.446,-0.665,-0.152,-0.704,-1.548,-1.346,-3.374,-5.505,-2.105,-0.836,-3.468,-2.136,-0.285,-1.756,-1.105,-0.715,1.221,-0.788,-0.658,0.340,0.278,-0.062,0.333,0.085,-0.330,-0.031,-0.523,-0.386,-0.567,0.054,-0.062,1.756,1.053,-0.327,-1.093,24.378,18.333,22.814,27.446,28.453,27.062,27.061,27.596,29.776,28.176,28.154,28.416,28.592,29.708,28.485,28.529,28.969,34.385,32.234,27.845,28.310,28.829,29.169,28.132,28.427,28.555,29.167,29.700,29.226,29.425,30.297,27.646,28.330,26.073,25.507,30.488,27.773,27.104,29.881,28.015,28.952,28.310,28.459,28.563,30.277,27.987,28.684,27.687,28.131,28.676,29.025,28.610,28.568,29.117,29.686,30.508,29.483,27.081,29.645,29.691,20.507,17.753,20.641,28.674,26.068,26.058,26.443,27.920,31.139,26.957,27.351,29.706,27.865,32.583,28.643,27.843,28.680,34.024,30.396,29.208,27.998,28.276,29.049,27.878,27.941,28.109,28.502,29.547,28.522,27.877,28.951,24.272,22.824,23.969,24.671,27.020,25.636,26.819,28.125,26.910,28.236,29.531,27.671,27.905,30.616,28.265,28.622,28.020,28.216,28.345,28.994,28.087,28.182,28.550,29.740,30.446,31.240,28.134,29.318,28.598
20,20,2.507,30.375,32.882,-3.528,-1.323,-2.208,1.234,-0.579,0.414,0.743,2.524,1.181,-0.446,-0.270,1.094,4.937,3.198,0.636,-0.237,0.018,0.226,1.348,3.402,1.744,2.007,1.460,6.040,5.913,5.325,5.459,2.962,9.718,11.614,9.406,-1.881,-1.576,0.533,-0.152,0.512,0.233,1.066,-1.165,-0.151,-0.370,1.946,0.068,0.424,0.597,2.511,2.062,5.722,5.426,5.127,4.572,8.567,9.249,8.446,5.914,1.342,-0.314,3.791,1.674,12.235,27.959,21.200,23.312,28.544,30.243,29.947,29.630,26.291,29.301,31.769,32.026,29.440,31.788,29.647,30.754,32.899,31.500,34.124,32.091,30.379,31.425,31.379,31.360,31.283,30.574,31.110,30.627,31.886,31.015,31.382,32.008,29.735,29.181,27.276,25.248,28.957,30.135,28.393,31.969,32.193,31.821,30.015,31.921,31.999,32.018,30.733,31.003,31.023,30.818,30.889,30.739,31.750,30.767,30.912,31.987,29.854,31.133,30.585,31.215,31.328,24.431,19.877,21.104,29.778,29.664,30.360,30.373,28.815,30.482,31.323,31.756,30.534,36.725,32.845,31.390,32.662,31.518,34.350,33.439,33.781,33.169,33.386,32.820,37.323,36.487,36.435,36.086,34.848,40.733,42.996,41.414,27.854,27.606,27.809,25.097,29.468,30.368,29.459,30.804,32.042,31.451,31.962,31.989,32.422,32.615,33.244,33.065,36.745,36.244,36.016,35.312,40.317,40.016,39.359,37.901,31.195,30.819,34.376,32.889,43.563
20,40,-0.114,28.393,28.279,-2.934,1.055,-1.587,-0.114,-0.923,0.949,0.769,-0.249,-0.990,1.076,1.217,0.290,0.011,0.017,0.456,1.820,1.252,-0.763,-2.236,-0.132,1.403,1.720,1.064,-1.148,0.005,1.749,0.973,-0.480,0.607,-1.778,-2.485,-2.783,-3.508,-0.389,-0.815,-3.309,0.079,0.356,-1.108,1.446,0.336,-0.452,1.302,1.734,0.537,0.650,1.932,-0.406,1.320,1.739,0.529,-1.962,-0.522,0.195,-1.268,-1.870,-0.194,0.465,-0.107,-1.392,24.378,18.333,22.814,27.446,28.453,27.062,27.061,27.596,29.776,28.176,28.154,28.416,28.592,29.708,28.485,28.529,28.969,34.385,32.234,27.845,28.310,28.829,29.169,28.132,28.427,28.555,29.167,29.700,29.226,29.425,30.297,27.646,28.330,26.073,25.507,30.488,27.773,27.104,29.881,28.015,28.952,28.310,28.459,28.563,30.277,27.987,28.684,27.687,28.131,28.676,29.025,28.610,28.568,29.117,29.686,30.508,29.483,27.081,29.645,29.691,21.444,19.388,21.227,27.332,27.530,28.011,27.830,27.348,28.786,29.251,29.371,28.706,28.604,29.725,28.941,30.348,30.221,33.623,29.998,27.713,29.713,30.549,30.233,26.984,28.433,30.304,30.139,29.219,29.833,27.646,27.811,24.863,24.822,25.684,24.692,27.179,27.852,27.460,28.773,29.462,29.287,27.858,29.762,30.296,30.814,28.637,30.616,27.281,29.451,30.414,29.554,26.648,28.046,29.312,28.417,28.637,29.289,27.546,29.538,28.298
